Subject,File,Task,Total_Mouse_Distance,Avg_Mouse_Speed,Max_Mouse_Speed,Total_Time,Mouse_Sensible_Pause_Count,Avg_Mouse_Sensible_Pause_Time,Avg_Mouse_Accel,Max_Mouse_Accel,Min_Mouse_Accel,Action_Pause_Time,Avg_All_Pauses_Time,Avg_Mouse_Pause_Time,Avg_Key_Pause_Time,Mouse_Episodes_Count,Mouse_Direction_Changes_Count,Total_Mouse_Angle_Changes,Avg_Mouse_X_Speed,Avg_Mouse_Y_Speed,Avg_Mouse_X_Accel,Avg_Mouse_Y_Accel,Max_Mouse_X_Speed,Max_Mouse_Y_Speed,Max_Mouse_X_Accel,Max_Mouse_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Mouse_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Open_Menu_to_Button_Pressed_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time,Mouse_Curvature,Repeated_Mouse_Patterns_Count_proximity_threshold_10,Repeated_Mouse_Patterns_Count_proximity_threshold_20,Repeated_Mouse_Patterns_Count_proximity_threshold_30,Repeated_Mouse_Patterns_Count_proximity_threshold_40,Repeated_Mouse_Patterns_Count_proximity_threshold_50,Repeated_Mouse_Patterns_Count_proximity_threshold_60,Repeated_Mouse_Patterns_Count_proximity_threshold_70,Repeated_Mouse_Patterns_Count_proximity_threshold_80,Repeated_Mouse_Patterns_Count_proximity_threshold_90,Repeated_Mouse_Patterns_Count_proximity_threshold_100,Avg_Mouse_Episode_Time,Mouse_Episode_Time_Stddev,Interaction_Density_Window,Interaction_Density_Over_Task
03,ui-log_水_11-12-2024_10-02-09.txt,training,25458.42,450.10,170000.00,72.032,33,1.5979,193728.10,169913904.32,-16530864.20,0.44,0.04,0.06,0.62,34,32,29842.64,372.22,153.39,189523.38,21738.36,170000.00,6375.00,169913905.68,2385800.00,1.48,34,225.19,0.13,2.23,42,4,7.00,1.19,0.00,0.0205,0,0,2,2,2,2,2,2,2,2,0.5585,629.47,25.72,25.72
03,ui-log_水_11-12-2024_10-06-24.txt,task_01,28508.71,181.72,12326.93,204.52,151,0.9278,20155.21,837277.31,-837277.31,0.34,0.04,0.05,1.81,152,73,119419.53,101.10,116.19,14816.49,15144.90,12250.00,8142.86,739583.33,496835.44,0.72,185,153.12,0.22,2.46,57,4,4.54,0.58,6.32,0.0731,2,4,10,16,40,70,90,112,138,152,0.4210,505.53,27.20,27.20
03,ui-log_水_11-12-2024_10-10-25.txt,task_02,19754.42,326.66,10720.07,83.49,71,0.6290,25478.25,4782428.68,-1476114.11,0.20,0.02,0.03,1.62,72,37,65650.38,209.28,188.08,19033.07,18416.77,10600.00,9875.00,2846153.85,3846153.85,0.45,88,223.66,0.11,1.66,38,4,5.50,0.49,4.15,0.0580,2,2,6,10,10,10,12,14,14,14,0.5349,604.52,41.49,41.49
03,ui-log_水_11-12-2024_10-12-10.txt,task_03,18510.05,519.70,14914.72,66.252,50,0.7742,28494.31,1146815.74,-610939.68,0.22,0.02,0.03,0.96,51,32,46383.30,359.31,288.06,22096.03,18890.19,14000.00,9500.00,1149870.80,1125000.00,0.56,60,219.89,0.10,1.68,50,4,6.67,0.49,3.81,0.0437,0,2,2,2,4,4,4,4,4,4,0.5381,466.09,40.56,40.56
03,ui-log_水_11-12-2024_10-13-30.txt,task_04,17809.95,395.36,9208.69,68.383,57,0.6520,24194.63,920454.55,-455286.72,0.18,0.02,0.03,1.36,58,34,47554.15,255.42,215.53,18268.18,16467.98,9200.00,6625.00,750000.00,920454.55,0.47,67,198.07,0.08,1.50,35,3,3.50,0.75,3.92,0.0466,2,2,2,2,2,2,4,4,4,4,0.5346,557.91,41.57,41.57
03,ui-log_水_11-12-2024_10-14-53.txt,task_05,19883.36,487.43,11329.93,71.998,63,0.6372,24088.12,655232.89,-410156.25,0.24,0.02,0.03,1.40,64,38,54807.46,340.64,251.85,19753.82,15877.92,11285.71,5375.00,640625.00,272727.27,0.42,81,224.00,0.09,1.95,47,2,4.33,0.30,2.99,0.0481,2,6,8,8,10,16,20,24,28,28,0.4943,521.22,42.52,42.52
03,ui-log_水_11-12-2024_10-17-41.txt,task_06,18478.67,424.02,20056.17,63.138,45,0.7362,36690.87,16162022.43,-4240945.93,0.20,0.02,0.03,1.34,46,24,49436.37,267.33,259.38,27071.02,25871.33,14000.00,20000.00,13377049.18,9163934.43,0.49,60,182.86,0.06,1.24,29,2,2.60,0.65,2.95,0.0467,2,6,8,8,8,10,14,14,20,26,0.6379,626.99,42.07,42.07
03,ui-log_水_11-12-2024_10-19-14.txt,task_07,20091.73,534.44,9968.32,57.203,50,0.5682,30922.02,477800.37,-477800.37,0.23,0.02,0.03,0.94,51,33,45740.29,363.37,300.09,24030.99,20253.77,9000.00,8571.43,428571.43,468750.00,0.40,60,215.18,0.12,2.01,35,2,5.80,0.37,3.05,0.0397,0,0,0,0,0,2,6,6,8,8,0.5605,427.26,44.63,44.63
03,ui-log_水_11-12-2024_10-20-26.txt,task_08,16114.53,605.26,47381.43,45.107,38,0.6045,39112.21,5839363.81,-5839363.81,0.28,0.02,0.03,0.78,39,27,32959.20,358.61,366.57,27466.81,30084.28,14400.00,47000.00,8400000.00,5795918.37,0.40,48,203.92,0.04,1.08,28,2,4.40,0.46,3.37,0.0357,0,0,0,0,0,0,0,0,0,0,0.5606,468.70,44.29,44.29
03,ui-log_水_11-12-2024_10-21-35.txt,task_09,16654.48,570.96,29500.47,50.418,47,0.5961,32606.54,4138967.36,-4138967.36,0.25,0.02,0.03,1.04,48,34,37022.55,369.77,315.74,23467.23,21757.66,17600.00,29500.00,1660000.00,4138888.89,0.42,55,178.03,0.07,1.36,30,2,4.40,0.28,4.19,0.0388,6,6,6,6,6,6,6,6,6,6,0.4649,494.81,42.58,42.58
03,ui-log_水_11-12-2024_10-22-45.txt,task_10,18702.53,605.57,32000.00,48.77,36,0.6467,37335.46,25787110.17,-2909311.16,0.26,0.02,0.02,0.65,37,22,41210.82,382.10,349.71,18833.72,30482.83,9625.00,32000.00,453993.06,25800000.00,0.41,44,213.84,0.06,1.26,28,2,4.60,0.32,2.85,0.0385,2,2,2,2,2,2,2,2,2,2,0.6842,822.39,51.06,51.06
03,ui-log_水_11-12-2024_10-25-28.txt,task_11,20169.53,583.04,12904.70,59.51,43,0.7576,28179.97,971830.99,-428989.95,0.31,0.02,0.03,0.85,44,31,45342.42,375.53,344.10,21388.55,19899.95,12875.00,8166.67,496598.64,971830.99,0.52,51,237.05,0.05,1.11,44,2,5.20,0.27,2.87,0.0392,0,4,4,4,4,4,4,4,4,4,0.6089,678.82,43.32,43.32
03,ui-log_水_11-12-2024_10-26-30.txt,task_12,17188.69,464.06,29464.20,53.691,41,0.6697,29676.70,3225680.56,-1442727.93,0.25,0.02,0.02,0.73,42,22,46288.31,303.93,269.53,23367.16,19725.43,27833.33,9800.00,3024420.80,1450000.00,0.47,48,183.44,0.07,1.28,28,2,4.20,0.35,3.61,0.0470,0,6,6,6,6,8,8,16,16,16,0.6173,556.87,45.61,45.61
03,ui-log_水_11-12-2024_10-27-41.txt,task_13,15749.13,565.36,13038.40,43.543,34,0.5804,28158.14,1855088.39,-1855088.39,0.21,0.02,0.03,0.96,35,23,36658.00,380.05,324.56,21357.90,19713.51,8857.14,12200.00,484375.00,1862500.00,0.33,48,187.94,0.05,1.41,37,2,6.60,0.44,2.99,0.0406,2,2,4,6,6,6,6,6,6,6,0.6705,639.16,50.02,50.02
03,ui-log_水_11-12-2024_10-28-43.txt,task_14,15781.51,609.16,28160.26,42.634,37,0.5787,30596.40,3450009.23,-3450009.23,0.18,0.02,0.03,0.68,38,19,33228.59,392.34,336.53,20580.04,21912.94,11600.00,28000.00,1200000.00,3500000.00,0.35,49,252.51,0.05,0.96,25,2,3.80,0.36,2.67,0.0368,0,0,4,4,4,4,6,12,14,14,0.5578,560.50,48.62,48.62
03,ui-log_水_11-12-2024_10-29-42.txt,task_15,17139.69,559.25,10698.08,47.62,45,0.5183,25917.07,924707.67,-397796.39,0.26,0.02,0.03,1.13,46,31,38257.43,344.37,343.94,18853.85,19247.49,8857.14,8142.86,928571.43,386666.67,0.33,58,232.89,0.05,1.09,32,2,4.20,0.38,3.97,0.0390,0,0,0,0,0,6,8,8,8,10,0.5230,437.47,48.34,48.34
