Subject,File,Task,Total_Mouse_Distance,Avg_Mouse_Speed,Max_Mouse_Speed,Total_Time,Mouse_Sensible_Pause_Count,Avg_Mouse_Sensible_Pause_Time,Avg_Mouse_Accel,Max_Mouse_Accel,Min_Mouse_Accel,Avg_Action_Pause_Time,Avg_All_Pauses_Time,Avg_Mouse_Pause_Time,Avg_Key_Pause_Time,Mouse_Episodes_Count,Mouse_Direction_Changes_Count,Total_Mouse_Angle_Changes,Avg_Mouse_X_Speed,Avg_Mouse_Y_Speed,Avg_Mouse_X_Accel,Avg_Mouse_Y_Accel,Max_Mouse_X_Speed,Max_Mouse_Y_Speed,Max_Mouse_X_Accel,Max_Mouse_Y_Accel,Avg_All_Sensible_Pause_Time,All_Sensible_Pause_Count,Avg_Mouse_Speed_Before_Button_Clicks,Avg_Menu_Item_Navigation_Time,Avg_Open_Menu_to_Button_Pressed_Time,Menu_Item_Navigations_Count,Menu_Viewing_Sessions_Count,Avg_Items_Navigated_in_Each_Session,Avg_Selected_Menu_Items_Dwell_Time,Avg_Combo_Selection_Time,Mouse_Curvature,Repeated_Mouse_Patterns_Count,Avg_Mouse_Episode_Time,Mouse_Episode_Time_Stddev,Interaction_Density
26,ui-log_火_7-1-2025_13-21-35.txt,task_03,18657.71,256.47,42438.19,107.834,82,0.7525,53044.11,39996879.22,-2615786.78,0.25,0.03,0.03,2.47,83,37,90800.58,172.62,141.91,37834.40,33274.28,35000.00,24000.00,33000000.00,22600000.00,0.53,105,102.40,0.22,1.91,37,4,4.00,0.40,4.21,0.0849,50,0.5510,561.79,37.61
26,ui-log_火_7-1-2025_13-23-48.txt,task_04,18368.03,283.30,5830.95,96.208,80,0.7642,22330.05,5487566.06,-512384.51,0.29,0.03,0.04,2.87,81,22,64967.26,193.66,158.91,17226.64,11751.98,5000.00,5000.00,4714285.71,3968750.00,0.55,101,82.37,0.08,1.22,34,4,3.83,0.46,4.20,0.0617,66,0.4319,406.30,33.02
26,ui-log_火_7-1-2025_13-25-50.txt,task_05,15072.13,268.59,11510.86,96.737,75,0.8369,20349.41,8715653.35,-740571.95,0.21,0.03,0.04,2.74,76,27,60666.65,187.92,146.38,18667.20,6699.94,11500.00,4666.67,8500000.00,1937500.00,0.65,91,130.23,0.13,1.89,34,4,4.00,0.85,5.61,0.0703,38,0.4213,440.47,28.72
26,ui-log_火_7-1-2025_13-30-27.txt,task_06,16471.36,310.33,9486.83,77.074,66,0.6130,21244.01,9174332.98,-608521.47,0.29,0.02,0.03,2.38,67,33,68056.66,212.34,178.51,18528.95,9806.81,9000.00,6000.00,8750000.00,5466666.67,0.46,77,155.43,0.06,1.01,28,4,3.33,0.38,4.09,0.0721,20,0.5432,699.97,42.82
26,ui-log_火_7-1-2025_13-32-11.txt,task_07,16901.95,398.34,20573.04,67.227,57,0.6653,28649.73,10496108.89,-1019587.55,0.19,0.02,0.03,1.63,58,21,49260.67,280.23,225.13,17387.48,18649.03,18500.00,11000.00,8607142.86,10500000.00,0.43,76,125.16,0.07,1.29,31,4,4.33,0.43,3.47,0.0509,26,0.5001,507.37,42.17
26,ui-log_火_7-1-2025_13-33-37.txt,task_08,17616.11,365.33,9363.76,71.354,65,0.6117,13175.99,2107220.93,-456505.00,0.20,0.02,0.03,1.83,66,25,48775.86,255.33,203.80,9362.14,8699.49,4000.00,8800.00,1875000.00,1866666.67,0.44,81,123.18,0.21,3.82,52,4,7.50,0.89,3.72,0.0483,28,0.4590,477.10,40.35
26,ui-log_火_7-1-2025_13-35-05.txt,task_09,22118.49,277.86,13498.97,99.711,98,0.5642,26919.03,7056756.11,-1274691.57,0.21,0.03,0.03,3.28,99,39,78205.46,194.59,150.18,21236.12,14257.61,12666.67,11500.00,6500000.00,5295454.55,0.46,107,104.87,0.07,0.99,29,4,2.86,0.38,4.99,0.0617,86,0.4456,555.61,39.02
26,ui-log_火_7-1-2025_13-37-12.txt,task_10,17206.17,287.36,12649.11,82.812,77,0.6113,29763.39,11926888.42,-860738.30,0.30,0.03,0.03,2.61,79,34,62159.50,202.76,151.74,21301.77,18476.67,10000.00,12000.00,3722222.22,11333333.33,0.45,92,108.82,0.09,1.20,31,4,3.67,0.48,3.82,0.0631,26,0.4426,507.57,39.03
26,ui-log_火_7-1-2025_13-45-15.txt,task_11,16613.70,363.75,12175.80,66.222,57,0.5490,19635.16,5492354.99,-1234529.30,0.20,0.02,0.02,1.31,58,28,63841.78,249.80,207.51,11798.06,14718.34,4750.00,11500.00,1794117.65,5191176.47,0.36,74,115.71,0.17,2.09,30,4,4.33,0.72,3.57,0.0671,4,0.5873,592.20,49.15
26,ui-log_火_7-1-2025_13-46-37.txt,task_12,17713.49,284.02,45343.14,80.984,59,0.8255,61322.13,42910099.49,-3493111.28,0.22,0.03,0.03,2.30,60,29,53460.17,195.06,162.94,40883.26,40483.17,34000.00,30000.00,32105263.16,28473684.21,0.62,69,121.30,0.07,1.06,39,4,4.33,0.44,4.46,0.0527,16,0.5323,433.78,37.16
